Factor containing 5 variables
-------------------------------------
| X_0 X_1 X_2 X_3 X_4 | Probability |
-------------------------------------
|  0   0   0   0   0  |           0 |
|  1   0   0   0   0  |           0 |
|  2   0   0   0   0  |           0 |
|  0   1   0   0   0  |           0 |
|  1   1   0   0   0  |           0 |
|  2   1   0   0   0  |           0 |
|  0   2   0   0   0  |           0 |
|  1   2   0   0   0  |           0 |
|  2   2   0   0   0  |           0 |
|  0   3   0   0   0  |           0 |
|  1   3   0   0   0  |           0 |
|  2   3   0   0   0  |           0 |
|  0   0   1   0   0  |           0 |
|  1   0   1   0   0  |           0 |
|  2   0   1   0   0  |           0 |
|  0   1   1   0   0  |           0 |
|  1   1   1   0   0  |           0 |
|  2   1   1   0   0  |           0 |
|  0   2   1   0   0  |           0 |
|  1   2   1   0   0  |           0 |
|  2   2   1   0   0  |           0 |
|  0   3   1   0   0  |           0 |
|  1   3   1   0   0  |           0 |
|  2   3   1   0   0  |           0 |
|  0   0   0   1   0  |     0.01944 |
|  1   0   0   1   0  |      0.0162 |
|  2   0   0   1   0  |     0.00054 |
|  0   1   0   1   0  |     0.00504 |
|  1   1   0   1   0  |      0.0168 |
|  2   1   0   1   0  |     0.00084 |
|  0   2   0   1   0  |      0.0036 |
|  1   2   0   1   0  |       0.012 |
|  2   2   0   1   0  |      0.0027 |
|  0   3   0   1   0  |     0.00036 |
|  1   3   0   1   0  |      0.0006 |
|  2   3   0   1   0  |     0.00015 |
|  0   0   1   1   0  |     0.00216 |
|  1   0   1   1   0  |      0.0018 |
|  2   0   1   1   0  |       6e-05 |
|  0   1   1   1   0  |     0.00216 |
|  1   1   1   1   0  |      0.0072 |
|  2   1   1   1   0  |     0.00036 |
|  0   2   1   1   0  |      0.0036 |
|  1   2   1   1   0  |       0.012 |
|  2   2   1   1   0  |      0.0027 |
|  0   3   1   1   0  |     0.00144 |
|  1   3   1   1   0  |      0.0024 |
|  2   3   1   1   0  |      0.0006 |
|  0   0   0   2   0  |           0 |
|  1   0   0   2   0  |           0 |
|  2   0   0   2   0  |           0 |
|  0   1   0   2   0  |           0 |
|  1   1   0   2   0  |           0 |
|  2   1   0   2   0  |           0 |
